01 00 - add [rax], eax
01 01 - add [rcx], eax
01 02 - add [rdx], eax
01 03 - add [rbx], eax
01 04 01 - add [rax + rax], eax
01 04 01 - add [rcx + rax], eax
01 04 02 - add [rdx + rax], eax
01 04 03 - add [rbx + rax], eax
01 04 04 - add [rsp + rax], eax
01 04 05 xx xx xx xx - add [rax + x], eax
01 04 06 - add [rsi + rax], eax
01 04 07 - add [rdi + rax], eax
01 04 08 - add [rax + rcx], eax
01 04 09 - add [rcx + rcx], eax
01 04 0a - add [rdx + rcx], eax
01 04 0b - add [rbx + rcx], eax
01 04 0c - add [rsp + rcx], eax
01 04 0d xx xx xx xx - add [rcx + x], eax
01 04 0e - add [rsi + rcx], eax
01 04 0f - add [rdi + rcx], eax
01 04 10 - add [rax + rdx], eax
01 04 11 - add [rcx + rdx], eax
01 04 12 - add [rdx + rdx], eax
01 04 13 - add [rbx + rdx], eax
01 04 14 - add [rsp + rdx], eax
01 04 15 xx xx xx xx - add [rdx + x], eax
01 04 16 - add [rsi + rdx], eax
01 04 17 - add [rdi + rdx], eax
01 04 18 - add [rax + rbx], eax
01 04 19 - add [rcx + rbx], eax
01 04 1a - add [rdx + rbx], eax
01 04 1b - add [rbx + rbx], eax
01 04 1c - add [rsp + rbx], eax
01 04 1d xx xx xx xx - add [rbx + x], eax
01 04 1e - add [rsi + rbx], eax
01 04 1f - add [rdi + rbx], eax
01 04 20 - add [rax], eax
01 04 21 - add [rcx], eax
01 04 22 - add [rdx], eax
01 04 23 - add [rbx], eax
01 04 24 - add [rsp], eax
01 04 25 xx xx xx xx - add [x], eax
01 04 26 - add [rsi], eax
01 04 27 - add [rdi], eax
01 04 28 - add [rax + rbp], eax
01 04 29 - add [rcx + rbp], eax
01 04 2a - add [rdx + rbp], eax
01 04 2b - add [rbx + rbp], eax
01 04 2c - add [rsp + rbp], eax
01 04 2d xx xx xx xx - add [rbp + x], eax
01 04 2e - add [rsi + rbp], eax
01 04 2f - add [rdi + rbp], eax
01 04 30 - add [rax + rsi], eax
01 04 31 - add [rcx + rsi], eax
01 04 32 - add [rdx + rsi], eax
01 04 33 - add [rbx + rsi], eax
01 04 34 - add [rsp + rsi], eax
01 04 35 xx xx xx xx - add [rsi + x], eax
