08 00 - or [rax], al
08 01 - or [rcx], al
08 02 - or [rdx], al
08 03 - or [rbx], al
08 04 00 - or [rax + rax], al
08 04 01 - or [rcx + rax], al
08 04 02 - or [rdx + rax], al
08 04 03 - or [rbx + rax], al
08 04 04 - or [rsp + rax], al
08 04 05 xx xx xx xx - or [rax + x], al
08 04 06 - or [rsi + rax], al
08 04 07 - or [rdi + rax], al
08 04 08 - or [rax + rcx], al
08 04 09 - or [rcx + rcx], al
08 04 0a - or [rdx + rcx], al
08 04 0b - or [rbx + rcx], al
08 04 0c - or [rsp + rcx], al
08 04 0d xx xx xx xx - or [rcx + x], al
08 04 0e - or [rsi + rcx], al
08 04 0f - or [rdi + rcx], al
08 04 10 - or [rax + rdx], al
08 04 11 - or [rcx + rdx], al
08 04 12 - or [rdx + rdx], al
08 04 13 - or [rbx + rdx], al
08 04 14 - or [rsp + rdx], al
08 04 15 xx xx xx xx - or [rdx + x], al
08 04 16 - or [rsi + rdx], al
08 04 17 - or [rdi + rdx], al
08 04 18 - or [rax + rbx], al
08 04 19 - or [rcx + rbx], al
08 04 1a - or [rdx + rbx], al
08 04 1b - or [rbx + rbx], al
08 04 1c - or [rsp + rbx], al
08 04 1d xx xx xx xx - or [rbx + x], al
08 04 1e - or [rsi + rbx], al
08 04 1f - or [rdi + rbx], al
08 04 20 - or [rax], al
08 04 21 - or [rcx], al
08 04 22 - or [rdx], al
08 04 23 - or [rbx], al
08 04 24 - or [rsp], al
08 04 25 xx xx xx xx - or [x], al
08 04 26 - or [rsi], al
08 04 27 - or [rdi], al
08 04 28 - or [rax + rbp], al
08 04 29 - or [rcx + rbp], al
08 04 2a - or [rdx + rbp], al
08 04 2b - or [rbx + rbp], al
08 04 2c - or [rsp + rbp], al
08 04 2d xx xx xx xx - or [rbp + x], al
08 04 2e - or [rsi + rbp], al
08 04 2f - or [rdi + rbp], al
08 04 30 - or [rax + rsi], al
08 04 31 - or [rcx + rsi], al
08 04 32 - or [rdx + rsi], al
08 04 33 - or [rbx + rsi], al
08 04 34 - or [rsp + rsi], al
08 04 35 xx xx xx xx - or [rsi + x], al
08 04 36 - or [rsi + rsi], al
08 04 37 - or [rdi + rsi], al
08 04 38 - or [rax + rdi], al
08 04 39 - or [rcx + rdi], al
08 04 3a - or [rdx + rdi], al
08 04 3b - or [rbx + rdi], al
08 04 3c - or [rsp + rdi], al
08 04 3d xx xx xx xx - or [rdi + x], al
08 04 3e - or [rsi + rdi], al
08 04 3f - or [rdi + rdi], al
08 04 40 - or [rax + rax * 2], al
08 04 41 - or [rcx + rax * 2], al
08 04 42 - or [rdx + rax * 2], al
08 04 43 - or [rbx + rax * 2], al
08 04 44 - or [rsp + rax * 2], al
08 04 45 xx xx xx xx - or [rax * 2 + x], al
08 04 46 - or [rsi + rax * 2], al
08 04 47 - or [rdi + rax * 2], al
08 04 48 - or [rax + rcx * 2], al
08 04 49 - or [rcx + rcx * 2], al
08 04 4a - or [rdx + rcx * 2], al
08 04 4b - or [rbx + rcx * 2], al
08 04 4c - or [rsp + rcx * 2], al
08 04 4d xx xx xx xx - or [rcx * 2 + x], al
08 04 4e - or [rsi + rcx * 2], al
08 04 4f - or [rdi + rcx * 2], al
08 04 50 - or [rax + rdx * 2], al
08 04 51 - or [rcx + rdx * 2], al
08 04 52 - or [rdx + rdx * 2], al
08 04 53 - or [rbx + rdx * 2], al
08 04 54 - or [rsp + rdx * 2], al
08 04 55 xx xx xx xx - or [rdx * 2 + x], al
08 04 56 - or [rsi + rdx * 2], al
08 04 57 - or [rdi + rdx * 2], al
08 04 58 - or [rax + rbx * 2], al
08 04 59 - or [rcx + rbx * 2], al
08 04 5a - or [rdx + rbx * 2], al
08 04 5b - or [rbx + rbx * 2], al
08 04 5c - or [rsp + rbx * 2], al
08 04 5d xx xx xx xx - or [rbx * 2 + x], al
08 04 5e - or [rsi + rbx * 2], al
08 04 5f - or [rdi + rbx * 2], al
08 04 60 - or [rax], al
08 04 61 - or [rcx], al
08 04 62 - or [rdx], al
08 04 63 - or [rbx], al
08 04 64 - or [rsp], al
08 04 65 xx xx xx xx - or [x], al
08 04 66 - or [rsi], al
08 04 67 - or [rdi], al
08 04 68 - or [rax + rbp * 2], al
08 04 69 - or [rcx + rbp * 2], al
08 04 6a - or [rdx + rbp * 2], al
08 04 6b - or [rbx + rbp * 2], al
08 04 6c - or [rsp + rbp * 2], al
