09 00 - or [rax], eax
09 01 - or [rcx], eax
09 02 - or [rdx], eax
09 03 - or [rbx], eax
09 04 00 - or [rax + rax], eax
09 04 01 - or [rcx + rax], eax
09 04 02 - or [rdx + rax], eax
09 04 03 - or [rbx + rax], eax
09 04 04 - or [rsp + rax], eax
09 04 05 xx xx xx xx - or [rax + x], eax
09 04 06 - or [rsi + rax], eax
09 04 07 - or [rdi + rax], eax
09 04 08 - or [rax + rcx], eax
09 04 09 - or [rcx + rcx], eax
09 04 0a - or [rdx + rcx], eax
09 04 0b - or [rbx + rcx], eax
09 04 0c - or [rsp + rcx], eax
09 04 0d xx xx xx xx - or [rcx + x], eax
09 04 0e - or [rsi + rcx], eax
09 04 0f - or [rdi + rcx], eax
09 04 10 - or [rax + rdx], eax
09 04 11 - or [rcx + rdx], eax
09 04 12 - or [rdx + rdx], eax
09 04 13 - or [rbx + rdx], eax
09 04 14 - or [rsp + rdx], eax
09 04 15 xx xx xx xx - or [rdx + x], eax
09 04 16 - or [rsi + rdx], eax
09 04 17 - or [rdi + rdx], eax
09 04 18 - or [rax + rbx], eax
09 04 19 - or [rcx + rbx], eax
09 04 1a - or [rdx + rbx], eax
09 04 1b - or [rbx + rbx], eax
09 04 1c - or [rsp + rbx], eax
09 04 1d xx xx xx xx - or [rbx + x], eax
09 04 1e - or [rsi + rbx], eax
09 04 1f - or [rdi + rbx], eax
09 04 20 - or [rax], eax
09 04 21 - or [rcx], eax
09 04 22 - or [rdx], eax
09 04 23 - or [rbx], eax
09 04 24 - or [rsp], eax
09 04 25 xx xx xx xx - or [x], eax
09 04 26 - or [rsi], eax
09 04 27 - or [rdi], eax
09 04 28 - or [rax + rbp], eax
09 04 29 - or [rcx + rbp], eax
09 04 2a - or [rdx + rbp], eax
09 04 2b - or [rbx + rbp], eax
09 04 2c - or [rsp + rbp], eax
09 04 2d xx xx xx xx - or [rbp + x], eax
09 04 2e - or [rsi + rbp], eax
09 04 2f - or [rdi + rbp], eax
09 04 30 - or [rax + rsi], eax
09 04 31 - or [rcx + rsi], eax
09 04 32 - or [rdx + rsi], eax
09 04 33 - or [rbx + rsi], eax
09 04 34 - or [rsp + rsi], eax
09 04 35 xx xx xx xx - or [rsi + x], eax
09 04 36 - or [rsi + rsi], eax
09 04 37 - or [rdi + rsi], eax
09 04 38 - or [rax + rdi], eax
09 04 39 - or [rcx + rdi], eax
09 04 3a - or [rdx + rdi], eax
09 04 3b - or [rbx + rdi], eax
09 04 3c - or [rsp + rdi], eax
09 04 3d xx xx xx xx - or [rdi + x], eax
09 04 3e - or [rsi + rdi], eax
09 04 3f - or [rdi + rdi], eax
09 04 40 - or [rax + rax * 2], eax
09 04 41 - or [rcx + rax * 2], eax
09 04 42 - or [rdx + rax * 2], eax
09 04 43 - or [rbx + rax * 2], eax
09 04 44 - or [rsp + rax * 2], eax
09 04 45 xx xx xx xx - or [rax * 2 + x], eax
09 04 46 - or [rsi + rax * 2], eax
09 04 47 - or [rdi + rax * 2], eax
09 04 48 - or [rax + rcx * 2], eax
09 04 49 - or [rcx + rcx * 2], eax
09 04 4a - or [rdx + rcx * 2], eax
09 04 4b - or [rbx + rcx * 2], eax
09 04 4c - or [rsp + rcx * 2], eax
09 04 4d xx xx xx xx - or [rcx * 2 + x], eax
09 04 4e - or [rsi + rcx * 2], eax
09 04 4f - or [rdi + rcx * 2], eax
09 04 50 - or [rax + rdx * 2], eax
09 04 51 - or [rcx + rdx * 2], eax
09 04 52 - or [rdx + rdx * 2], eax
09 04 53 - or [rbx + rdx * 2], eax
09 04 54 - or [rsp + rdx * 2], eax
09 04 55 xx xx xx xx - or [rdx * 2 + x], eax
09 04 56 - or [rsi + rdx * 2], eax
09 04 57 - or [rdi + rdx * 2], eax
09 04 58 - or [rax + rbx * 2], eax
09 04 59 - or [rcx + rbx * 2], eax
09 04 5a - or [rdx + rbx * 2], eax
09 04 5b - or [rbx + rbx * 2], eax
09 04 5c - or [rsp + rbx * 2], eax
09 04 5d xx xx xx xx - or [rbx * 2 + x], eax
09 04 5e - or [rsi + rbx * 2], eax
09 04 5f - or [rdi + rbx * 2], eax
09 04 60 - or [rax], eax
09 04 61 - or [rcx], eax
09 04 62 - or [rdx], eax
09 04 63 - or [rbx], eax
09 04 64 - or [rsp], eax
09 04 65 xx xx xx xx - or [x], eax
09 04 66 - or [rsi], eax
09 04 67 - or [rdi], eax
09 04 68 - or [rax + rbp * 2], eax
09 04 69 - or [rcx + rbp * 2], eax
09 04 6a - or [rdx + rbp * 2], eax
09 04 6b - or [rbx + rbp * 2], eax
09 04 6c - or [rsp + rbp * 2], eax
09 04 6d xx xx xx xx - or [rbp * 2 + x], eax
09 04 6e - or [rsi + rbp * 2], eax
09 04 6f - or [rdi + rbp * 2], eax
09 04 70 - or [rax + rsi * 2], eax
09 04 71 - or [rcx + rsi * 2], eax
09 04 72 - or [rdx + rsi * 2], eax
09 04 73 - or [rbx + rsi * 2], eax
09 04 74 - or [rsp + rsi * 2], eax
09 04 75 xx xx xx xx - or [rsi * 2 + x], eax
09 04 76 - or [rsi + rsi * 2], eax
09 04 77 - or [rdi + rsi * 2], eax
09 04 78 - or [rax + rdi * 2], eax
09 04 79 - or [rcx + rdi * 2], eax
09 04 7a - or [rdx + rdi * 2], eax
09 04 7b - or [rbx + rdi * 2], eax
09 04 7c - or [rsp + rdi * 2], eax
09 04 7d xx xx xx xx - or [rdi * 2 + x], eax
09 04 7e - or [rsi + rdi * 2], eax
09 04 7f - or [rdi + rdi * 2], eax
09 04 80 - or [rax + rax * 4], eax
09 04 81 - or [rcx + rax * 4], eax
09 04 82 - or [rdx + rax * 4], eax
09 04 83 - or [rbx + rax * 4], eax
09 04 84 - or [rsp + rax * 4], eax
09 04 85 xx xx xx xx - or [rax * 4 + x], eax
